Feature,Normalized.Dispersion
ENSG00000242125,-0.5441751612879318
ENSG00000180098,-0.8624912696436797
ENSG00000197989,-0.6147542552584574
ENSG00000120656,-1.1450304173539398
ENSG00000188060,NaN
ENSG00000229388,-0.5707730526009042
ENSG00000270103,-0.2567947207383758
ENSG00000162419,-0.08471537021665927
ENSG00000289291,-0.07058703475776906
ENSG00000198492,-1.1783911505281766
ENSG00000233427,NaN
ENSG00000159023,0.08094186137845522
ENSG00000253304,NaN
ENSG00000225750,NaN
ENSG00000116350,-1.0085404746011275
ENSG00000116353,0.08714126117381574
ENSG00000060656,NaN
ENSG00000162510,3.3521532126126097
ENSG00000186056,-0.2999232724969641
ENSG00000287510,NaN
ENSG00000162511,-1.0517330134461162
ENSG00000162512,-1.6403920556815086
ENSG00000134644,-0.7934065702286202
ENSG00000084628,1.6360563230618381
ENSG00000060688,-1.4168097275738876
ENSG00000121766,0.6841429423292521
ENSG00000229044,0.45283075649409704
ENSG00000121769,0.2842247092869409
ENSG00000168528,-0.7280949701309473
ENSG00000284543,4.848370922566585
ENSG00000121764,-0.18602166107252133
ENSG00000162517,-0.12496091759113252
ENSG00000235790,2.389195404711103
ENSG00000264078,-0.3541317012848139
ENSG00000084636,NaN
ENSG00000121753,3.7186982444148264
ENSG00000254545,NaN
ENSG00000134668,68.58649995140698
ENSG00000203620,NaN
ENSG00000269967,3.751723535056789
ENSG00000184007,1.4587392973090034
ENSG00000228634,3.7959278575305246
ENSG00000284702,NaN
ENSG00000121774,-1.2824592009216003
ENSG00000203325,0.012353535419624124
ENSG00000121775,2.2058450040719815
ENSG00000025800,0.6978421850610846
ENSG00000250135,-0.298720621976415
ENSG00000084652,-1.0842025909587811
ENSG00000160050,-0.5137355234082475
ENSG00000224066,-1.1959179249853147
ENSG00000160051,-0.6573068602847367
ENSG00000222046,-0.7974904753784376
ENSG00000160055,-1.4433644236466974
ENSG00000084623,-2.0752268280363264
ENSG00000291132,5.99758113775235
ENSG00000183615,0.4324709253795808
ENSG00000182866,1.9340757363901813
ENSG00000116478,-0.7810668224313717
ENSG00000175130,1.1208594974921955
ENSG00000162526,-0.5890610735572136
ENSG00000225828,10.854782912154281
ENSG00000160058,0.20506413291576756
ENSG00000273274,-0.15214204303621087
ENSG00000160062,2.5139261870016902
ENSG00000176261,0.3259189178382652
